iter	Passed	Remaining
0	57	57706
1	58	29004
2	58	19442
3	58	14654
4	59	11785
5	59	9894
6	60	8541
7	60	7513
8	60	6716
9	61	6066
10	61	5539
11	62	5106
12	62	4752
13	62	4434
14	63	4153
15	63	3915
16	64	3702
17	64	3517
18	64	3352
19	65	3202
20	65	3059
21	65	2930
22	66	2812
23	66	2711
24	67	2613
25	67	2523
26	67	2441
27	68	2364
28	68	2296
29	69	2248
30	69	2187
31	70	2128
32	70	2071
33	70	2017
34	71	1971
35	71	1927
36	72	1881
37	72	1842
38	73	1820
39	74	1780
40	74	1746
41	74	1709
42	75	1679
43	75	1649
44	76	1617
45	76	1591
46	77	1564
47	77	1536
48	77	1510
49	78	1489
50	78	1466
51	79	1447
52	79	1425
53	80	1405
54	80	1388
55	81	1368
56	81	1349
57	82	1333
58	82	1315
59	82	1299
60	83	1282
61	83	1264
62	83	1248
63	84	1232
64	84	1217
65	84	1201
66	85	1188
67	85	1175
68	86	1161
69	86	1148
70	86	1135
71	87	1122
72	87	1108
73	87	1097
74	88	1087
75	88	1077
76	88	1066
77	89	1056
78	89	1045
79	90	1035
80	90	1026
81	90	1017
82	90	1004
83	91	995
84	91	986
85	91	977
86	92	970
87	92	962
88	93	959
89	94	952
90	94	944
91	94	937
92	95	930
93	95	922
94	95	914
95	96	907
96	96	900
97	97	894
98	97	886
99	97	881
100	98	874
101	98	868
102	98	861
103	99	861
104	100	855
105	100	849
106	101	844
107	101	839
108	101	833
109	102	828
110	102	822
111	102	816
112	103	811
113	104	812
114	104	806
115	105	802
116	105	796
117	105	791
118	106	786
119	106	781
120	107	777
121	107	772
122	107	767
123	107	762
124	108	758
125	108	754
126	108	749
127	109	744
128	109	740
129	110	736
130	110	732
131	110	729
132	111	724
133	111	720
134	111	716
135	112	712
136	112	708
137	112	705
138	113	704
139	114	701
140	114	697
141	114	693
142	115	689
143	115	686
144	116	684
145	116	680
146	116	677
147	117	674
148	117	671
149	118	671
150	118	668
151	119	664
152	119	661
153	119	659
154	120	656
155	120	654
156	121	651
157	121	648
158	122	645
159	122	643
160	122	638
161	122	635
162	123	632
163	123	629
164	123	627
165	124	625
166	124	622
167	125	620
168	125	618
169	126	616
170	126	614
171	127	612
172	127	610
173	127	607
174	128	604
175	128	602
176	129	600
177	129	598
178	129	595
179	130	593
180	130	591
181	131	589
182	131	586
183	131	584
184	132	582
185	132	580
186	132	577
187	133	575
188	133	573
189	133	570
190	134	569
191	134	566
192	135	564
193	135	563
194	135	560
195	136	558
196	136	556
197	137	555
198	137	553
199	137	551
200	138	549
201	138	547
202	138	544
203	139	542
204	139	540
205	139	538
206	139	536
207	140	534
208	140	531
209	140	529
210	141	527
211	141	525
212	141	523
213	142	521
214	142	519
215	142	517
216	142	515
217	143	513
218	143	511
219	143	509
220	144	507
221	144	505
222	144	503
223	144	502
224	145	500
225	145	498
226	146	498
227	146	496
228	147	495
229	147	493
230	147	491
231	148	490
232	148	488
233	148	486
234	149	485
235	149	483
236	149	482
237	150	480
238	150	479
239	150	477
240	151	476
241	151	474
242	151	473
243	152	472
244	152	470
245	153	469
246	153	467
247	153	466
248	154	464
249	154	463
250	154	462
251	155	461
252	155	459
253	156	460
254	157	458
255	157	457
256	157	455
257	158	454
258	158	453
259	158	452
260	159	451
261	159	449
262	159	448
263	160	447
264	160	446
265	161	444
266	161	443
267	161	442
268	162	440
269	162	439
270	162	438
271	163	437
272	163	435
273	163	434
274	164	433
275	164	432
276	165	431
277	165	429
278	165	428
279	166	427
280	166	426
281	167	427
282	168	425
283	168	424
284	169	424
285	169	422
286	169	421
287	170	421
288	170	420
289	171	418
290	171	418
291	171	417
292	172	416
293	172	414
294	173	413
295	173	412
296	173	411
297	174	410
298	174	409
299	174	407
300	175	406
301	175	405
302	175	404
303	176	403
304	176	402
305	177	401
306	177	400
307	177	399
308	178	398
309	178	398
310	179	397
311	179	395
312	179	395
313	180	393
314	180	392
315	181	391
316	181	391
317	181	390
318	182	389
319	182	388
320	183	387
321	183	386
322	183	385
323	184	384
324	184	383
325	184	382
326	185	381
327	185	380
328	185	379
329	186	378
330	186	377
331	186	376
332	187	375
333	187	374
334	188	373
335	188	372
336	188	371
337	189	370
338	189	369
339	189	368
340	190	368
341	190	367
342	191	366
343	191	365
344	191	364
345	192	363
346	193	363
347	193	362
348	194	361
349	194	361
350	194	360
351	195	359
352	195	358
353	195	357
354	196	356
355	196	355
356	196	354
357	197	353
358	197	352
359	197	351
360	198	350
361	198	349
362	199	349
363	200	349
364	200	348
365	201	348
366	201	347
367	201	346
368	202	345
369	202	344
370	203	344
371	203	343
372	203	342
373	204	341
374	204	341
375	205	340
376	205	339
377	205	338
378	206	338
379	206	337
380	207	336
381	207	335
382	207	334
383	208	334
384	208	333
385	209	332
386	210	333
387	210	332
388	210	331
389	211	330
390	211	329
391	212	328
392	212	327
393	212	327
394	213	326
395	213	325
396	213	324
397	214	323
398	214	323
399	214	322
400	215	321
401	215	320
402	216	320
403	217	320
404	217	319
405	218	319
406	218	318
407	218	317
408	219	317
409	219	316
410	220	315
411	220	314
412	220	313
413	221	313
414	221	312
415	222	311
416	222	310
417	222	310
418	223	309
419	223	308
420	223	308
421	224	307
422	224	306
423	225	305
424	225	305
425	225	304
426	226	303
427	227	303
428	227	302
429	227	302
430	228	301
431	228	300
432	229	300
433	229	299
434	229	298
435	230	297
436	230	297
437	231	296
438	231	295
439	231	295
440	232	294
441	232	293
442	233	293
443	233	292
444	233	291
445	234	290
446	234	290
447	235	289
448	235	288
449	235	288
450	236	287
451	236	286
452	236	285
453	237	285
454	237	284
455	237	283
456	238	283
457	238	282
458	239	281
459	239	281
460	239	280
461	240	279
462	240	278
463	240	278
464	241	277
465	241	276
466	241	276
467	242	275
468	242	274
469	242	273
470	244	274
471	244	273
472	244	272
473	245	271
474	245	271
475	245	270
476	246	269
477	246	269
478	246	268
479	247	267
480	247	267
481	247	266
482	248	265
483	248	264
484	248	264
485	249	263
486	249	262
487	249	262
488	250	261
489	250	260
490	250	259
491	251	259
492	251	258
493	251	258
494	252	257
495	252	256
496	253	256
497	253	255
498	253	254
499	254	254
500	254	253
501	254	252
502	255	252
503	255	251
504	255	250
505	256	250
506	256	249
507	256	248
508	257	248
509	257	247
510	258	246
511	258	246
512	258	245
513	259	244
514	259	244
515	259	243
516	260	243
517	260	242
518	260	241
519	261	241
520	261	240
521	262	239
522	262	239
523	262	238
524	263	238
525	263	237
526	263	236
527	264	236
528	264	235
529	265	235
530	265	234
531	265	233
532	266	233
533	266	232
534	267	232
535	267	231
536	267	230
537	268	230
538	268	229
539	268	228
540	269	228
541	269	227
542	269	227
543	270	226
544	270	225
545	270	225
546	271	224
547	271	224
548	271	223
549	272	222
550	272	222
551	273	221
552	273	221
553	273	220
554	274	219
555	274	219
556	274	218
557	275	217
558	275	217
559	275	216
560	276	216
561	276	215
562	276	214
563	277	214
564	277	213
565	278	213
566	278	212
567	278	212
568	279	211
569	279	210
570	279	210
571	280	209
572	280	209
573	281	208
574	281	208
575	281	207
576	282	207
577	282	206
578	283	205
579	283	205
580	283	204
581	284	204
582	284	203
583	285	203
584	285	202
585	285	201
586	286	201
587	286	200
588	286	200
589	287	199
590	287	199
591	287	198
592	288	197
593	288	197
594	289	196
595	289	196
596	289	195
597	290	195
598	290	194
599	290	193
600	291	193
601	291	192
602	291	192
603	292	191
604	292	191
605	293	190
606	293	190
607	293	189
608	294	188
609	294	188
610	294	187
611	295	187
612	295	186
613	296	186
614	296	185
615	296	185
616	297	184
617	297	183
618	298	183
619	298	182
620	298	182
621	299	181
622	299	181
623	300	181
624	301	180
625	301	180
626	301	179
627	302	178
628	302	178
629	302	177
630	303	177
631	303	176
632	304	176
633	304	175
634	304	175
635	305	174
636	305	174
637	305	173
638	306	173
639	306	172
640	307	172
641	307	171
642	307	170
643	308	170
644	308	169
645	309	169
646	309	169
647	310	168
648	310	167
649	310	167
650	311	166
651	311	166
652	312	165
653	312	165
654	312	164
655	313	164
